,Name,Address,Tel,Email,Contact Persons,Products
9000,SRIBHUMI INTERNATIONAL,"29, BHARGAV LANE,BOULEVARD ROAD,
DELHI, DELHI","11-23937579,11-23927746",sribhumi@rediffmail.com,MRS. NANDITA DAS,
9001,SRIBIR OVERSEAS LTD,"41, JANGPURA ROAD, BHOGAL,
NEW DELHI, DELHI",11-24372230,"sribirs@sribirs.com,ad02@sribirs.com",NARENDRA KUMAR JAIN,"HANDICRAFTS,JEWELLERY-FASHION,"
9002,SRIGANESH EXPORT (KUMBAKONAM) PVT. LTD.,"TS-815, ALAI ADI ROAD, KUMBAKONAM,
THANJAVUR DISTT., TAMIL NADU","0435-2000614,0435-2427040",sriganeshexpo@gmail.com,G. PANDIAN,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,ARTICLES BRASS HANDICRAFTS, MICRON GOLD OF PLATING & LACQUERING OF POOJA & PRAYER ARTICLES."
9003,SRIJAAN CRAFTS,"C-604, EXOTICA EAST SQUARE, MALL ROAD, AHINSAKHAND-II, INDIRAPURAM,
GHAZIABAD, UTTAR PRADESH",120-4167002,"nisheet@srijaancrafts.com,contact@srijaancraf",NISHEET SAXENA,"ALUMINIUM WARES,BRASSWARE,CANDLE HOLDER & LAMPS,CANDLE STAND,CANDLE, VOTIVES & T-LITES,COPPER ARTWARES,COPPERWARE,DECORATIVE ITEMS,IRON CRAFTS,LANTERNS,"
9004,SRIJAANI DESIGGNS (OPC) PRIVATE LIMITED,"A-317 , LGF , DEFENCE COLONY
NEW DELHI, DELHI","11-41071717,120-4545755",sapna.apoorva@gmail.com,SAPNA APOORVA MISHRA,"IMITATION JEWELLERY,IMITATION/ARTIFICIAL JEWELLERY,"
9005,SRIJAN,"3/9, MALVIYA NAGAR,
JAIPUR, RAJASTHAN",141-2700028,laddha84@yahoo.co.in,MADHU LADDHA,"FURNITURE-WOODEN,PAPIER MACHIE,FURNITURE-WOODEN,PAPIER MACHIE,FURNITURE-WOODEN,PAPIER MACHIE,FURNITURE-WOODEN,PAPIER MACHIE,FURNITURE-WOODEN,PAPIER MACHIE,"
9006,SRINAGAR CARPET FACTORY,"D-141-LG FLOOR, LAJPAT NAGAR-1
NEW DELHI, DELHI",11-41020018,sgrcarpet@yahoo.com,MOHD. MAQBOOL WANI,"BRASSWARE,HANDICRAFTS,PAPIER MACHE,WOODCRAFTS,"
9007,SRINAGAR CARPET TRAINING & MARKETING CENTRE PVT. LTD,"VILLAGE MIRGUND, PATTAN ,
BARAMULLA, JAMMU & KASHMIR",,sctmcpl@gmail.com,ARSHAD HUSSAIN MIR,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
9008,SRINIVASA HANDICRAFTS PEARLS GEMS & JEWELS,"PLOT NO 27, H. NO 13-195/A, TRR TOWNSHIP ROAD, MEERPET, SARORNAGAR, R R DIST,
HYDERABAD, TELANGANA",40-65404891,hyd9246113309@gmail.com,Y. SRINIVASA,"JEWELLERY-FASHION,"
9009,SRISHTI EXTRIM PRIVATE LIMITED,"FLAT NO-69, POCKET-1, SECTOR-2, DWARKA,
NEW DELHI, DELHI",11-25082378,"santosh.ojha1@gmail.com,srishti.extrim@gmail.",SANTOSH KUMAR OJHA,"FURNITURE,HANDICRAFTS,FURNITURE,HANDICRAFTS,FURNITURE,HANDICRAFTS,FURNITURE,HANDICRAFTS,"
9010,SRISHTI INTERNATIONAL,"VILLAGE MEGH CHAPPAR, NEAR BADI NEHAR, AMBALA ROAD,
SAHARANPUR, UTTAR PRADESH",-9837030261,sheetal.srishtiintl@gmail.com,SHEETAL MIGLANI,"HANDICRAFTS,"
9011,SRISHTIMAYA CREATIONS,"66A, MOHAN MARG, KASTURBA NAGAR, NIRMAN NAGAR
JAIPUR, RAJASTHAN","-9928106695,-9829528555",srishtimayacreations@gmail.com,KUMUD KUSHWAHA,"BAGS,CHILDERN'S - FURNITURE,CHILDERN'S FURNITURE,CHILDREN DRESSES,CHILDREN'S FURNITURE,CHILDREN\'S FURNITURE,"
9012,SRISRIMAL EXPORTS,"G1/95 INDUSTRIAL AREA, BEHIND NEW POWER HOUSE,
JODHPUR, RAJASTHAN","291-2740801,291-2546996",srisrimalexports@gmail.com,DINESH JAIN,"CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRICS & PRODUCTS,CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRICS & PRODUCTS,CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRICS & PRODUCTS,CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRICS & PRODUCTS,CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRICS & PRODUCTS,CURTAIN FABRICS - KNITTED,CURTAIN FABRICS - WOVEN,DECORATION FABRICS-PLAIN DYED/PRINTED,FURNISHING FABRICS,FURNITURE-METAL/IRON,FURNITURE-WOODEN,HANDLOOM-FABRI,TENTS"
9013,SRJ CRAFT,"H- 392-393, SARNA DOONGER INDUSTRIAL AREA,JHOTWARA EXT- II,
JAIPUR, RAJASTHAN","141-2587184,141-2587186",info@srjcraft.com,NEERAJ AGARWAL,"FURNITURE-DECORATIVE,FURNITURE-METAL/IRON,FURNITURE-WOODEN,"
9014,SRK GLOBAL EXPORTS,"NO 2\ 303 KAMBAR STREET MUDICHUR CHENNAI KANCHEEPURAM DIST
CHENNAI, TAMIL NADU",44-22761936,srkglobalexports@gmail.com,RAJESHKANNA S,"ACCENT FURNITURE,BAGS,BAMBOO PRODUCTS,FURNITURE- WOODEN,HANDICRAFTS,JEWELLERY,JEWELLERY- STONE,JUTE PRODUCTS,OTHER INDIAN HANDICAFTS,SANDALWOOD ARTICLES,WOOD CRAFTS,ACCENT FURNITURE,BAGS,BAMBOO PRODUCTS,FURNITURE- WOODEN,HANDICRAFTS,JEWELLERY,JEWELLERY- STONE,JUTE PRODUCTS,OTHER INDIAN HANDICAFTS,SANDALWOOD ARTICLES,WOOD CRAFTS,ACCENT FURNITURE,BAGS,BAMBOO PRODUCTS,FURNITURE- WOODEN,HANDICRAFTS,JEWELLERY,JEWELLERY- STONE,JUTE PRODUCTS,OTHER INDIAN HANDICAFTS,SANDALWOOD ARTICLES,WOOD CRAFTS,ALL HANDICRAFTS PRODUCTS"
9015,SRK MODULAR FURNITURE CO,"E-2, PAANCH BATTI, M.I ROAD,
JAIPUR, RAJASTHAN",141-2682000,"info@srkmodular.com,bmethi@gmail.com",BHAWNA KHANDELWAL,"ACCENT FURNITURE,ANTIQUE FURNITURE,BEDROOM FURNITURE,DINING ROOM FURNITURE,DINING ROOM FURNITURE,HANDICRAFTS ITEMS,JEWELLERY,SILVER FURNITURE,WOOD CRAFTS,WOODEN IRON FURNITURE,WROUGHT IRON FURNITURE,"
9016,SRN EXIM BIZ,"B-151, DDA SHEDS, OKHLA INDUSTRIAL AREA, PH-2,
NEW DELHI, DELHI",11-29234382,"naveensahani@yahoo.com,info@srneximbiz.in",NAVEEN SAHANI,"BADGES & EMBLEMS,BELTS & ACCESSORIES,BRASS ARTWARES,CEREMONIAL ITEMS,CROCHET LACE & EMBROIDERY FURNISHING,FLAGS & BUNTINGS,GENTS SHIRTS,HATS & CAPS,LEATHER ACCESSORIES,RIBBONS AND CORDS,"
9017,SRSK GROUP,"38/10, GURU NANAK PURA, ASSANDH ROAD
PANIPAT, HARYANA",,srskgroup@gmail.com,VISHAL KAUSHIK,"HANDICRAFTS,HANDLOOM FABRICS,HANDICRAFTS,HANDLOOM FABRICS,HANDICRAFTS,HANDLOOM FABRICS,"
9018,SS CORPORATION,"D-141, DLF NEW TOWN HEIGHTS SECTOR-90,
GURGAON, HARYANA",124-4966131,neelam@nikkispride.com,NEELAM KHANDELWAL,"ARTISTICS STONEWARES,ASH TRAYS,BATH/BEDROOM ACCESSORIES,HOME DECORATIVE,INCENSE HOLDERS,MARBLE & STONE FIGURINES,MARBLE GLASS,MARBLE TABLE TOPS,MARBLE-ALABASTER & CRAFTED STONES,STONE FIGURINES,STONEWARES,"
9019,SS CRAFTEXPO PRIVATE LIMITED,"25, ALKAPURI
UDAIPUR, RAJASTHAN",294-2434444,sales@sscraftexpo.com,SARFRAZ SHEIKH,"ALMIRAHS & CABINETS,BONE HANDICRAFTS,BOXES - GIFT,BRASS ARTWARES,CABINETS,FURNITURE,FURNITURE- COLONIAL,FURNITURE- METAL/IRON,FURNITURE-WOODEN,MARBLE & STONE FIGURINES,MARBLE FOUNTAINS,MARBLE TABLE TOPS,ALMIRAHS & CABINETS,BONE HANDICRAFTS,BOXES - GIFT,BRASS ARTWARES,CABINETS,FURNITURE,FURNITURE- COLONIAL,FURNITURE- METAL/IRON,FURNITURE-WOODEN,MARBLE & STONE FIGURINES,MARBLE FOUNTAINS,MARBLE TABLE TOPS,WOODEN FURNITURE WITH METALBRASSCOPPER SILVER CLADDING"
9020,SS INTERNATIONAL,"WZ-8B, KRISHAN NAGAR, (M.B.S. NAGAR),
NEW DELHI, DELHI","11-28336977,11-45138362",ssintl2007@gmail.com,JAGDISH KALRA,"GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,GLASSWARE,HORNCRAFTS,METALWARE,OTHER INDIAN HANDICAFTS,BONE CRAFT"
9021,SSAA EXIM,"G-05, ROSE MANGALAM AANANDA, NEAR SANGANER RAILWAY STATION, SANGANER,
JAIPUR, RAJASTHAN",141-2975378,ssaa.exim@gmail.com,PREETI SAXENA,"CARPETS & DURRIES,CERAMICS,CUSHION COVERS,HAND KNOTTED/HANDMADE CARPETS & RUGS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,HAND-WOVEN CARPETS,HANDICRAFTS ITEMS,WOODEN IRON FURNITURE,WOODEN TABLE/STOOLS,WOODEN TRUNKS,"
9022,SSAA EXPORTS,"10/45, RAMJIPURA MALVIYA NAGAR,
JAIPUR, RAJASTHAN",,psaxena2001@gmail.com,SUBHASH SAXENA,"FURNITURE,HANDICRAFTS,IRON CRAFTS,JUTE PRODUCTS,LEATHER GOODS,RUGS,WOODCRAFTS,FURNITURE,HANDICRAFTS,IRON CRAFTS,JUTE PRODUCTS,LEATHER GOODS,RUGS,WOODCRAFTS,FURNITURE,HANDICRAFTS,IRON CRAFTS,JUTE PRODUCTS,LEATHER GOODS,RUGS,WOODCRAFTS,FABRICS"
9023,SSHS CENTEX IMPEX PRIVATE LIMITED,"D-1A-69, GROUND FLOOR, D BLOCK, JANAKPURI,
NEW DELHI, DELHI",011-49094654,info@sshscentex.com,HARDESH SHARMA,"CANE & BAMBOO PRODUCTS,CANE PRODUCTS,HANDICRAFTS ITEMS,OTHER INDIAN HANDICAFTS,"
9024,SSK ART & CRAFT PVT. LTD.,"KGB HOUSE, SUBHASH CHANDRA BOSE COLONY LANE, 1ST DEFENCE LAB ROAD, RATANDA
JODHPUR, RAJASTHAN",,sangetsoni@gmail.com,SANGET SONI,"HANDICRAFTS,IRON CRAFTS,WOODEN ARTWARES,"
9025,SSR EXPOMART PRIVATE LIMITED,"A-351, JIGAR COLONY, OPP. DAMDAM KOTHI,
MORADABAD, UTTAR PRADESH",591-2436348,seemab.qayyum@yahoo.com,RAFAT SUHAIL,"ALUMINIUM WARES,BRASSWARE,GLASSWARE,HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL ARTICLES ,"
9026,SSR EXPORTS,"PURANA BARF KHANA SIYALKOT, GALI NO. 4,
MORADABAD, UTTAR PRADESH",591-2490582,ssrexports@gmail.com,SHAKIR HUSAIN,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,ARTWARE"
9027,SSR TRADERS,"B-39, GANESH NAGAR, TILAK NAGAR,
NEW DELHI, DELHI",,"anilkatyal07@gmail.com,ssrtradersdelhi@gmail.",ANIL KATYAL,"GLASS-DECORATIVE,GLASS WATER PIPE"
9028,SSTRINGZ EXIM PRIVATE LIMITED,"1057, 3RD FLOOR, GALI HIRANAND MALIWARA,
DELHI, DELHI",011-23261057,sstringz@yahoo.in,NAVNEET BHOLA,"HANDICRAFTS,"
9029,"ST. MARY'S MAHILA SHIKSHAN KENDRA,","RAJPUR-GOMATIPUR,
AHMEDABAD, GUJARAT",91-22169839,stmarysmsk@satyam.net.in,MRS. SR.LUCIA CARABIAS,"HANDICRAFTS,"
9030,STAILANT CRAFT,"C-1/50, ASHIYANA PHASE-II, MDA
MORADABAD, UTTAR PRADESH",,stailantcraft@gmail.com,RAJEEV KUMAR VERMA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
9031,STAIN LAY INDIA PVT LTD,"73, SSI INDUSTRIAL ESTATE, G. T. KARNAL ROAD,
DELHI, DELHI","11-47565551,11-47565552,11-47565553,11-47565554",pradeepgoel@stainlayindia.com,SURESH CHAND GOEL,"HANDICRAFTS,"
9032,STALLION WORLDWIDE EXPORTS,"NAND VIHAR, CIVIL LINES,
MORADABAD, UTTAR PRADESH",591-2436894,vbkhanna@stallionworldwide.com,NILANJANA KHANNA,"ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,OTHER INDIAN HANDICAFTS,ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,OTHER INDIAN HANDICAFTS,ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,OTHER INDIAN HANDICAFTS,ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,OTHER INDIAN HANDICAFTS,ALUMINIUM WARES,BRASSWARE,HANDICRAFTS,IRON CRAFTS,OTHER INDIAN HANDICAFTS,"
9033,STALWART ACCENTS,"PLOT NO. D-14, D 12/1, SECTOR-33, INFOCITY PHASE-11
GURGAON, HARYANA",124-4008023,manojkhosla@stalwartindia.net,MANOJ KHOSLA,"HANDICRAFTS,HOME FURNISHINGS,"
9034,STALWART EXPORTS PVT. LTD.,"410-411,UDYOG VIHAR,
GURGAON, HARYANA","124-3041843,124-3041824","manojkhosla@stalwartindia.net,account@stalwar",LOVE KUMAR KHOSLA,"BRASSWARE,HANDICRAFTS,"
9035,STALWART HANDICRAFTS INDIA (P) LTD.,"A-99, LAJPAT NAGAR,
MORADABAD, UTTAR PRADESH","591-2490861,591-2435631",stalwart.in@outlook.com,ASHOK KUMAR ARORA,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,EPNS WARE,GLASSWARE,IRON CRAFTS,STONEWARES,"
9036,STALWART HOMESTYLES,"D-11 & 12, SECTOR-33,INFOCITY, PHASE-II,
GURGAON, HARYANA","124-3938800,124-3938824","gagan@stalwarthomestyles.com,rajesh@stalwarth",GAGAN KHOSLA,"EPNS WARE,GLASSWARE,IRON CRAFTS,WOODCRAFTS,"
9037,STALWART IMPEX,"A-99, LAJPAT NAGAR,
MORADABAD, UTTAR PRADESH","591-2490861,591-2412631",ashokkarora@outlook.com,ASHOK KUMAR ARORA,"BRASSWARE,EPNS WARE,HANDICRAFTS,"
9038,STALWART INDIA,"A-99, LAJPAT NAGAR,
MORADABAD, UTTAR PRADESH","591-2490861,591-2412631",ashokkarora@outlook.com,ANITA ARORA,"BRASSWARE,EPNS WARE,HANDICRAFTS,"
9039,STALWART LIFESTYLE PVT LTD,"PLOT NO.D-9 &10, FIRST FLOOR INFOCITY-II, SECTOR-33
GURGAON, HARYANA",124-4039940,hoaccounts@stalwartlifestyle.com,LOVE KUMAR KHOSLA,
9040,STALWART OVERSEAS,"PLOT NO-12, NSEZ, NOIDA,
GAUTAM BUDH NAGAR, UTTAR PRADESH",120-4290224,dispatch@stalwart.in,LOVE KUMAR KHOSLA,"GLASSWARE,HANDICRAFTS,IRON CRAFTS,LAMPS,LEATHER GOODS,GLASSWARE,HANDICRAFTS,IRON CRAFTS,LAMPS,LEATHER GOODS,GLASSWARE,HANDICRAFTS,IRON CRAFTS,LAMPS,LEATHER GOODS,"
9041,STALWART OYSUM COLLECTION,"16/404 ARYA NAGAR,
FIROZABAD, UTTAR PRADESH",5612-231689,stalwartoysumcollection@gmail.com,GAURAV SACHDEVA,"GLASSWARE,GLASSWARE,GLASSWARE,GLASSWARE,GLASSWARE,GLASSWARE,GLASSWARE,"
9042,STALWART TECHNIK PRIVATE LTD,"1, OSHO DRIVE, GADAIPUR ROAD,
NEW DELHI, DELHI",129-4150800,info@stalwartindustries.com,RAJIV KHOSLA,"EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,EPNS WARE,HANDICRAFTS,STAINLESS STEEL TABLEWARE,"
9043,STALWART TRENDZ,"KHOSLA FARMS, SULTANPUR,MEHRAULI, GURGAON ROAD,
NEW DELHI, DELHI",124-4078263,manojkhosla@stalwartindia.net,MANOJ KHOSLA,"BRASSWARE,GIFTWARE,HANDICRAFTS,IRON CRAFTS,LEATHER GOODS/ACCESSORIES,SILVERWARE,"
9044,STANDARD ART PRODUCTS,"PRINCE ROAD-6 MUGHAL PURA,LST
MORADABAD, UTTAR PRADESH",591-2494826,"info@standardartproducts.com,najam@standardar",NAZEER AHMAD,"ALUMINIUM WARES,BRASSWARE,EPNS WARE,HANDICRAFTS,IRON CRAFTS,"
9045,STANDARD CRAFTS,"F-6/20, KRISHNA NAGAR
DELHI, DELHI","11-22093165,11-22093502",standardcrafts@rediffmail.com,KIRPA RAM SHARMA,"HANDICRAFTS,INDIA ITEMS,"
9046,STANDARD INDIA,"IST FLOOR, D-518, POCKET-II, DDA FLATS JASOLA,
NEW DELHI, DELHI",,standardindia18@gmail.com,MURTUZA,"HANDICRAFTS,"
9047,STANROSE OVERSEAS,"NEAR HANUMAN MURTI BYE PASS,
MORADABAD, UTTAR PRADESH","0591-6541211,0591-6541211",stanroseoverseas@gmail.com,ANKUR SINGHAL,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
9048,STAR COLLECTION,"ASHRAFI GALI MUFTI TOLA,
MORADABAD, UTTAR PRADESH",,sales@starcollections.in,MOHD. AZEEM,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,HANDICRAFTS,IRON CRAFTS,"
9049,STAR EXPORT,"117/H-2/171, PANDU NAGAR
KANPUR, UTTAR PRADESH",512-2296850,starexportanmol@gmail.com,ANMOL SINGH,"GIFTWARE,HANDICRAFTS,JEWELLERY-FASHION,"
9050,STAR GLOBAL,"46/1, SECOND FLOOR, BLOCK B, NARAINA INDUSTRIAL AREA, PHASE-2,
DELHI, DELHI",-9711131310,"goelassociates123@gmail.com,starglobalindia@g",GURLEEN KAUR,"BAGS,BAGS (BEADED),BAGS (COTTON),BAGS (JUTE),FASHION ACCESSORIES,HOME ACCESSORIES,HOME FURNISHINGS,JEWELLERY,JEWELLERY- COSTUMES,JEWELLERY- FASHION,BAGS,BAGS (BEADED),BAGS (COTTON),BAGS (JUTE),FASHION ACCESSORIES,HOME ACCESSORIES,HOME FURNISHINGS,JEWELLERY,JEWELLERY- COSTUMES,JEWELLERY- FASHION,BAGS,BAGS (BEADED),BAGS (COTTON),BAGS (JUTE),FASHION ACCESSORIES,HOME ACCESSORIES,HOME FURNISHINGS,JEWELLERY,JEWELLERY- COSTUMES,JEWELLERY- FASHION,"
9051,STAR HANDICRAFTS,"SARAI MEER NAGINA,
BIJNOR, UTTAR PRADESH",1343-252896,star_handicraft@yahoo.com,KHURSHEED AHMAD,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,WOODEN HANDICRAFTS"
9052,STAR HANDICRAFTS,"SABRI KA BAGH, LANE NO. 3,
SAHARANPUR, UTTAR PRADESH","132-2642240,132-2642240",starhandicrafts@sancharnet.in,MR. MOHD. HAROON,
9053,STAR HANDICRAFTS EMPORIUM,"SHEOPURI MANDI
SAHARANPUR, UTTAR PRADESH",,inersethi99@gmail.com,SHAMIM AHMAD,"WOODEN ARTWARES,"
9054,STAR IMPEX,"A-23, NIZAMUDDIN EAST,
NEW DELHI, DELHI","120-4249902,120-24358368","sid@starxmas.com,pt@starxmas.com",MR. SIDDHARTH TARA,"HOME FURNISHINGS,X-MAS CARDS,"
9055,STAR IMPEX INTERNATIONAL,"R-214, STREET NO.9 (G.F.),RAMESH PARK, LAXMI NAGAR,
NEW DELHI, DELHI","11-22023529,11-22433715",starimpexint@gmail.com,MD. SHOEB,"JEWELLERY-COSTUME,JEWELLERY-FASHION,"
9056,STAR IMPEX INTERNATIONAL LLP,"R- 214, GALI NO- 10, RAMESH PARK, LAXMI NAGAR,
NEW DELHI, DELHI",011-49145442,meraj@starimpexinternational.com,MOHAMMAD MERAJ,"HANDICRAFTS,HANDICRAFTS ITEMS,HANDICRAFTS ITEMS,IMITATION/ARTIFICIAL JEWELLERY,JEWELLERY- METAL,OTHER INDIAN HANDICAFTS,"
9057,STAR INDIA CRAFT,"NOOR SARAY NEAR AKBARABAD CHOWK
NAGINA, UTTAR PRADESH",1343-252499,"starindiacraft@gmail.com,info@urnsmemorials.c",AMEER HASAN,"WOODEN ARTWARES,WOODEN GIFTS,WOODEN HANDICRAFTS PHOTO FRAMES,WOODEN ARTWARES,WOODEN GIFTS,WOODEN HANDICRAFTS PHOTO FRAMES,WOODEN URNS WOODEN JEWELLERY WOODEN UTENSILS"
9058,STAR INDIA EXPORTS,"BARBALAN NEAR RATHORE GAS AGENCY,
MORADABAD, UTTAR PRADESH",591-2492006,info@starindiaexports.com,MOHD. RAIS,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,ARTWARES"
9059,STAR INTERNATIONAL,"57-A, ANAND INDUSTRIAL ESTATE, MOHAN NAGAR
GHAZIABAD, UTTAR PRADESH",-9871878155,exportsstar@gmail.com,SHIKHAR GUPTA,"EMBROIDERY ,FASHION ACCESSORIES,HAIR ACCESSORIES,HAND EMBROIDERED SCARVES/PAREUS,HANDICRAFTS,HANDICRAFTS ITEMS,HANDLOOM-FABRICS & PRODUCTS,JEWELLERY- FASHION,SCARVES,SCARVES,SCARVES, SHAWLS OF SILK,HEADBANDS BELTS HAIRCLIPS"
9060,STAR INTERNATIONAL,"78/E-7, SHABBIR STREET,DEHRIA,
MORADABAD, UTTAR PRADESH",591-2470416,starintl@sancharnet.in,ISHRAT HUSSAIN,
9061,STAR LA COLECCION,"MIYON KA GHER, NEAR RAJMAHAL SCHOOL, GULAB SAGAR
JODHPUR, RAJASTHAN",,info@starlacoleccion.com,TOUSHIF SHEIKH,"HANDICRAFTS,IRON ARTWARES,WOODEN ARTWARES,"
9062,STAR LABS,"5455, GRAIN MARKET,
AMBALA CANTT, HARYANA",,starlabssupply@gmail.com,SAKSHAM ARORA,"GLASSWARE,SCHOOL LAB EQUIPMENTS"
9063,STAR LIGHT METAL WORKS,"RZ-46, SHIVANI ENCLAVE, PHASE-1, KAKROLA,
NEW DELHI, DELHI",00-000000,starlightmetalworks@gmail.com,VINOD KHATRI,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
9064,STAR LINE,"SHOP NO.4, BOSTON APARTMENT,NEAR RUBY TOWER, SAHAKAR ROAD, JOGESHWARI WEST,
MUMBAI, MAHARASHTRA","022-26779900,022-67100004",starline2018@hotmail.com,SHAKIL USMAN CHHOTANI,"HANDICRAFTS,"
9065,STAR MANUFACTURER,"17-A, KHASRA NO-147, VISHWAKARMA NAGAR, SANGARIA,
JODHPUR, RAJASTHAN",-2627956,starartexports@gmail.com,AMIT VANGANI,"BONE FURNITURE,DINING ROOM FURNITURE,FURNITURE,FURNITURE- INDUSTRIAL, CONTEMPORARY, OLD TRADITIONAL,FURNITURE- WOODEN,FURNITURE-METAL/IRON,GARDEN FURNITURE,HOTEL & RESTAURANT FURNITURES,LEATHER FURNITURE,UPHOLSTERY FURNITURE,VINTAGE FURNITURE,"
9066,STAR OF INDIA,"NEAR NAYAB BIDI FACTORY 788, MAMU BHANJEY KI ZIYARAT, LAL BAGH
MORADABAD, UTTAR PRADESH",-8909811141,info@starofindia.org.in,MOHD FAHAD,"HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL ARTICLES ,"
9067,STAR SHELL CRAFTS,"P.B.NO.6, 20, RIVERSIDE STREET,
CUDDALORE, TAMIL NADU",4142-239360,rajastarshellcraft@yahoo.co.in,K. RAJA MOHAMED,"HANDICRAFTS,SHELL GIFTS,"
9068,STAR TRADERS,"KOHMA, MUGHALPURA
MORADABAD, UTTAR PRADESH",,startraders7966@gmail.com,SHUJAAT ALI,"ALUMINIUM WARE,BRASSWARE,GLASSWARE,IRON CRAFTS,STAINLESS STEEL ARTICLES ,"
9069,STAR WOOD HANDICRAFT,"GALI NO.1, REHMANI CHOWK, CHAND COLONY,
SAHARANPUR, UTTAR PRADESH",-9997796658,starwoodhandicraft786@gmail.com,SAKIB,"ASH TRAYS,BEDROOM FURNITURE,BENCHES,BOWLS,BOWLS & DISHES,BOXES - GIFT,BOXES - JEWELLERY,CANDLE HOLDERS - CANE/BAMBOO,CANDLE LAMPS,CHILDREN'S FURNITURE,CLOCKS,"
9070,STAR WORLD,"C-104, LANE NO 6, GANDHI NAGAR
MORADABAD, UTTAR PRADESH","0591-2499276,0591-2494545,0591-2499276",info@starworldexports.com,SATAXI KHANNA,"ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,ALUMINIUM WARES,BRASSWARE,COPPERWARE,IRON CRAFTS,METALWARE,"
9071,STARK INDUSTRIES,"185-B, GIDC, MAKARPURA
VADODARA, GUJARAT",,starkindustries1602@gmail.com,AKSHIT GANDHI,"HANDICRAFTS,"
